event_id,event_type,product_id,customer_id,event_time,quantity,price
1,purchase,82,88,2024-09-29T18:03:27.999717,3.0,810.9000000000001
2,add_to_cart,36,697,2024-10-12T18:03:27.999717,4.0,1853.76
3,add_to_cart,36,58,2024-10-13T18:03:27.999717,4.0,1853.76
4,page_view,92,937,2024-09-19T18:03:27.999717,,
5,purchase,27,441,2024-10-03T18:03:27.999717,4.0,1453.08
6,page_view,1,428,2024-09-27T18:03:27.999717,,
7,purchase,50,367,2024-09-23T18:03:27.999717,3.0,893.8799999999999
8,add_to_cart,76,499,2024-10-01T18:03:27.999717,1.0,85.93
9,page_view,38,521,2024-10-15T18:03:27.999717,,
10,page_view,95,974,2024-09-17T18:03:27.999717,,
11,purchase,51,182,2024-09-28T18:03:27.999717,2.0,309.74
12,add_to_cart,88,69,2024-10-05T18:03:27.999717,3.0,1326.72
13,add_to_cart,1,987,2024-10-12T18:03:27.999717,3.0,50.37
14,page_view,52,373,2024-09-25T18:03:27.999717,,
15,add_to_cart,92,679,2024-09-30T18:03:28.000717,4.0,1612.84
16,page_view,25,566,2024-09-30T18:03:28.000717,,
17,add_to_cart,23,317,2024-09-29T18:03:28.000717,3.0,1129.77
18,purchase,9,616,2024-09-24T18:03:28.000717,4.0,1356.0
19,purchase,3,191,2024-09-19T18:03:28.000717,2.0,462.54
20,page_view,7,508,2024-10-15T18:03:28.000717,,
21,page_view,35,435,2024-09-19T18:03:28.000717,,
22,purchase,25,489,2024-10-11T18:03:28.000717,1.0,266.71
23,page_view,4,460,2024-09-18T18:03:28.000717,,
24,add_to_cart,78,455,2024-10-03T18:03:28.000717,5.0,969.0
25,page_view,43,963,2024-10-09T18:03:28.000717,,
26,page_view,45,955,2024-10-03T18:03:28.000717,,
27,purchase,32,486,2024-10-15T18:03:28.000717,5.0,1698.25
28,page_view,25,225,2024-10-02T18:03:28.000717,,
29,add_to_cart,97,596,2024-09-17T18:03:28.000717,1.0,383.61
30,add_to_cart,30,398,2024-09-24T18:03:28.000717,5.0,1216.0
31,purchase,79,412,2024-09-23T18:03:28.000717,2.0,226.78
32,add_to_cart,54,242,2024-09-17T18:03:28.000717,2.0,566.32
33,add_to_cart,20,110,2024-09-24T18:03:28.000717,3.0,461.90999999999997
34,purchase,37,597,2024-10-12T18:03:28.000717,2.0,833.26
35,page_view,82,830,2024-10-10T18:03:28.000717,,
36,page_view,15,430,2024-09-28T18:03:28.000717,,
37,page_view,32,460,2024-10-09T18:03:28.000717,,
38,page_view,84,645,2024-09-23T18:03:28.000717,,
39,page_view,6,879,2024-10-10T18:03:28.000717,,
40,purchase,37,130,2024-09-25T18:03:28.000717,3.0,1249.8899999999999
41,page_view,25,617,2024-09-26T18:03:28.000717,,
42,page_view,12,115,2024-09-30T18:03:28.000717,,
43,purchase,80,247,2024-10-14T18:03:28.000717,4.0,275.92
44,page_view,81,888,2024-10-02T18:03:28.000717,,
45,page_view,85,724,2024-10-09T18:03:28.000717,,
46,purchase,99,517,2024-09-20T18:03:28.000717,3.0,1174.74
47,add_to_cart,62,375,2024-10-02T18:03:28.000717,5.0,1981.3
48,page_view,48,683,2024-09-16T18:03:28.000717,,
49,page_view,68,112,2024-10-13T18:03:28.000717,,
50,purchase,38,235,2024-09-17T18:03:28.000717,4.0,143.32
